cancer_type,pathologic_stage,prior_treatment_status,recommended_drugs,nutritional_guidelines,exercise_protocol,scientific_source
Breast Cancer,STAGE I / II,None (Treatment-Naïve),"Tamoxifen (HR+), Anastrozole (Post-menopausal), Trastuzumab (HER2+).","Emphasize a Mediterranean-leaning diet. Incorporate high-fiber, cruciferous vegetables. Strictly limit alcohol intake.",Progressive resistance training (2-3x/week) prioritizing upper-body mobility and lymphedema prevention exercises.,NCCN Guidelines for Breast Cancer v1.2026 / ASCO Endocrine Therapy Updates.
Breast Cancer,STAGE III / IV,Prior Anthracycline/Taxane Neoadjuvant Therapy,"Sacituzumab Govitecan (Trodelvy), Capivasertib + Fulvestrant, Elacestrant (ESR1 mutant).","High-calorie and protein-dense nutrition via shakes to mitigate advanced cachexia, severe nausea, and mucosal sores.",Low-to-moderate intensity aerobic walking combined with light resistance bands to combat chronic cancer-related fatigue.,FDA Oncology Center Approval Registry (Sacituzumab Govitecan Context) 2024-2026.
Colorectal Cancer,STAGE I / II / III,None (Post-Resection Adjuvant),Capecitabine or FOLFOX (Fluorouracil + Leucovorin + Oxaliplatin).,"Incorporate omega-3 fatty acids, minimize processed red meat intake, and optimize systemic fiber absorption.",Moderate-intensity structured resistance training combined with core exercises to support pelvic floor stability.,NCCN Guidelines for Colon and Rectal Cancer v2.2026 / ESMO Consensus.
Colorectal Cancer,STAGE IV,Prior Fluoropyrimidine (5-FU) Regimen,"FOLFIRI (Irinotecan + 5-FU) + Bevacizumab, or Pembrolizumab if MSI-High.",Hydration protocols to counter severe diarrhea induced by Irinotecan. Supplement water and electrolytes actively.,Functional task adaptation exercises focused on energy conservation and core core-stability training.,NCCN Colon Cancer Second-Line Treatment Pathways / ASCO Precision Medicine.
Lung Adenocarcinoma,Early to Advanced,None (Treatment-Naïve / EGFR+),"Osimertinib (Targeted EGFR), Alectinib (Targeted ALK), Brigatinib.","Small, frequent, nutrient-dense meals to manage potential targeted therapy-induced stomatitis and diarrhea.",Low-impact resistance training paired with targeted diaphragmatic breathing and light aerobic pacing to improve lung capacity.,NCCN Guidelines for Non-Small Cell Lung Cancer (NSCLC) v3.2026 (EGFR Targets).
Lung Adenocarcinoma,Advanced / Metastatic,Prior Platinum-Based Chemotherapy Resistance,"Amivantamab-vmjw, or Docetaxel + Ramucirumab, Pemetrexed Salvage.",Implement soft foods and cold liquids to soothe esophageal mucosal lining irritated by salvage chemotherapy cycles.,Supervised light resistance stretching and lifestyle energy conservation techniques to maintain basic independence.,FDA Oncology Approval Databases / ESMO NSCLC Salvage Therapy Guidelines.
Lung Squamous Cell Carcinoma,STAGE I / II / III,None (Treatment-Naïve),Cisplatin or Carboplatin + Paclitaxel + Radiation Therapy.,Incorporate calorie-dense smoothies and pureed diets to overcome radiation-induced dysphagia (difficulty swallowing).,Incorporate shoulder posture tracking and targeted stretching to preserve chest wall compliance post-radiation.,NCCN Guidelines for Lung Cancer Staging / Thoracic Radiation Protocols.
Lung Squamous Cell Carcinoma,STAGE IV,Prior Platinum-Based Chemotherapy Failure,Pembrolizumab (Keytruda) or Nivolumab + Ipilimumab (Opdualag).,Monitor and counter profound weight loss with structured branched-chain amino acids (BCAAs) and proteins.,Low-intensity functional physical therapy focused on ambulatory maintenance and pulmonary comfort.,ASCO Systemic Therapy for Stage IV Squamous Non-Small Cell Lung Cancer.
Prostate Cancer,Localized / Early,None (Primary Active Surveillance or ADT),"Leuprolide (Androgen Deprivation Therapy), Bicalutamide.",Increase calcium and Vitamin D supplementation to actively protect bone mineral density during hormone blockades.,"High-load axial resistance training (squats, overhead presses) to stimulate bone remodeling and combat osteopenia.",NCCN Guidelines for Prostate Cancer v2.2026 / AUA Guidelines.
Prostate Cancer,Advanced / Metastatic,Prior Docetaxel Chemotherapy Failure,"Enzalutamide (Xtandi), Abiraterone Acetate, Cabazitaxel (Jevtana).",Monitor glucose levels closely to mitigate metabolic syndrome risks associated with chronic therapeutic androgen suppression.,"Supervised, low-impact functional strength and balance mechanics to minimize falling risks associated with skeletal events.",ASCO Advanced/Metastatic Castration-Resistant Prostate Cancer Updates.
Melanoma,STAGE I / II / III,None (Treatment-Naïve),Nivolumab (Opdivo) or Pembrolizumab adjuvant monotherapy.,"Antioxidant-rich foods, low-sodium dietary balancing, and absolute hydration tracking.","Moderate aerobic training mixed with large-muscle group resistance exercises, adjusting for peripheral neuropathy.",NCCN Guidelines for Cutaneous Melanoma v2.2026 / Adjuvant Approvals.
Melanoma,STAGE IV / Unresectable,Prior Immune Checkpoint Inhibitor Anti-PD1 Failure,"Nivolumab + Ipilimumab combination, or Dabrafenib + Trametinib (BRAF V600E+).","Probiotics via natural foods (kefir, plain yogurt) to build gut microbiome diversity for active immunotherapy response.",Structured neuromuscular training and balance exercises to reduce fall risks caused by advanced immunotherapy toxicities.,FDA Center for Drug Evaluation Precision Registries / ASCO Melanoma Framework.
